epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,284.908,0.41697,0.54813,0.83627,0.91768,0.93976,0.95193,0.85197,0.42564,0.55401,0.83771,0.000560909,0.000560909,0.000560909
43,291.744,0.41396,0.5466,0.84391,0.94003,0.9135,0.9548,0.85891,0.42105,0.55331,0.83274,0.000555833,0.000555833,0.000555833
44,298.586,0.39795,0.51638,0.84043,0.94288,0.93141,0.96857,0.86138,0.44408,0.56397,0.83705,0.000550758,0.000550758,0.000550758
45,305.393,0.40607,0.51832,0.83278,0.91546,0.94266,0.94827,0.85049,0.43961,0.5956,0.84828,0.000545682,0.000545682,0.000545682
46,312.144,0.40086,0.50365,0.83575,0.91737,0.94209,0.94893,0.85264,0.43309,0.57975,0.84743,0.000540607,0.000540607,0.000540607
47,318.918,0.39624,0.49567,0.83057,0.93433,0.93176,0.95027,0.85635,0.43145,0.51484,0.84004,0.000535532,0.000535532,0.000535532
48,325.786,0.37918,0.48853,0.83231,0.92535,0.94927,0.95963,0.87562,0.41104,0.52711,0.83264,0.000530456,0.000530456,0.000530456
49,332.701,0.37277,0.49078,0.83169,0.95052,0.92142,0.95153,0.86455,0.40863,0.53227,0.83731,0.000525381,0.000525381,0.000525381
50,339.531,0.38723,0.47542,0.83082,0.94964,0.91562,0.95118,0.86124,0.41326,0.56196,0.83437,0.000520305,0.000520305,0.000520305
51,346.339,0.38039,0.49669,0.83428,0.94782,0.92855,0.96333,0.87449,0.41919,0.52912,0.83116,0.00051523,0.00051523,0.00051523
52,353.178,0.36612,0.4612,0.82663,0.94012,0.94495,0.95351,0.85425,0.45113,0.54483,0.84234,0.000510155,0.000510155,0.000510155
53,359.906,0.39064,0.48497,0.82962,0.94008,0.93227,0.95664,0.87652,0.43699,0.54027,0.85278,0.000505079,0.000505079,0.000505079
54,366.968,0.38123,0.47699,0.83365,0.94238,0.93278,0.95018,0.85375,0.44435,0.52488,0.85224,0.000500004,0.000500004,0.000500004
55,373.616,0.36106,0.46626,0.82345,0.92236,0.93298,0.95992,0.87188,0.42138,0.519,0.84196,0.000494928,0.000494928,0.000494928
56,380.268,0.36414,0.44738,0.82833,0.92088,0.94074,0.9506,0.8639,0.41955,0.57716,0.84087,0.000489853,0.000489853,0.000489853
57,386.931,0.3801,0.45673,0.82816,0.93608,0.9171,0.94224,0.85589,0.43343,0.59288,0.83785,0.000484778,0.000484778,0.000484778
58,393.654,0.3764,0.45793,0.82492,0.94076,0.91641,0.94555,0.84288,0.44337,0.58613,0.84711,0.000479702,0.000479702,0.000479702
59,400.429,0.36202,0.44661,0.82191,0.90376,0.93526,0.95624,0.85671,0.43146,0.57107,0.8416,0.000474627,0.000474627,0.000474627
60,407.116,0.36987,0.46958,0.83412,0.91628,0.93598,0.94885,0.8571,0.43401,0.55935,0.8509,0.000469551,0.000469551,0.000469551
61,413.886,0.35713,0.4476,0.82215,0.89888,0.92472,0.94238,0.84804,0.42913,0.57794,0.85468,0.000464476,0.000464476,0.000464476
62,420.662,0.34399,0.44091,0.82577,0.92921,0.9386,0.93401,0.8432,0.42512,0.56124,0.85492,0.000459401,0.000459401,0.000459401
63,427.441,0.35314,0.44338,0.82881,0.91455,0.92277,0.93833,0.85012,0.39536,0.57533,0.82986,0.000454325,0.000454325,0.000454325
64,434.182,0.34753,0.43156,0.82549,0.92586,0.94687,0.94672,0.84834,0.42953,0.52297,0.85159,0.00044925,0.00044925,0.00044925
65,440.941,0.3391,0.44144,0.82384,0.93703,0.93363,0.95114,0.85153,0.42817,0.5132,0.85106,0.000444174,0.000444174,0.000444174
66,447.611,0.33641,0.44401,0.81587,0.94241,0.91917,0.94788,0.85717,0.41818,0.52105,0.85459,0.000439099,0.000439099,0.000439099
67,454.468,0.33765,0.43383,0.82623,0.9384,0.92131,0.95131,0.86461,0.39848,0.53204,0.84315,0.000434024,0.000434024,0.000434024
68,461.198,0.33711,0.44022,0.8294,0.95222,0.91907,0.94404,0.86125,0.40977,0.55542,0.84275,0.000428948,0.000428948,0.000428948
69,467.916,0.34283,0.44414,0.82381,0.95038,0.91923,0.94275,0.86459,0.40059,0.54697,0.83584,0.000423873,0.000423873,0.000423873
70,474.682,0.33345,0.42761,0.82441,0.95226,0.91152,0.95106,0.86499,0.3974,0.50968,0.83851,0.000418797,0.000418797,0.000418797
71,481.426,0.35315,0.43943,0.82694,0.94576,0.91302,0.95343,0.86356,0.41937,0.51867,0.83577,0.000413722,0.000413722,0.000413722
72,488.087,0.34063,0.43797,0.82164,0.94286,0.93418,0.9469,0.85932,0.4093,0.54238,0.84018,0.000408647,0.000408647,0.000408647
73,494.691,0.31928,0.40975,0.82173,0.93402,0.91193,0.92663,0.84692,0.39348,0.56098,0.84137,0.000403571,0.000403571,0.000403571
74,501.283,0.33126,0.40619,0.82248,0.9296,0.91896,0.95101,0.86752,0.39316,0.50777,0.83728,0.000398496,0.000398496,0.000398496
75,508.003,0.3347,0.42335,0.81996,0.90487,0.94007,0.94334,0.85801,0.39783,0.53337,0.83687,0.00039342,0.00039342,0.00039342
76,514.722,0.32364,0.41099,0.81081,0.93583,0.91937,0.95507,0.87101,0.39665,0.49847,0.83387,0.000388345,0.000388345,0.000388345
77,521.454,0.31785,0.4103,0.81383,0.93142,0.92382,0.95653,0.87441,0.3976,0.49298,0.84502,0.00038327,0.00038327,0.00038327
78,528.238,0.31592,0.40638,0.81888,0.9428,0.91305,0.94683,0.85864,0.39646,0.53758,0.83819,0.000378194,0.000378194,0.000378194
79,535.016,0.3216,0.4163,0.82099,0.94983,0.9209,0.94929,0.86175,0.38185,0.51179,0.82539,0.000373119,0.000373119,0.000373119
80,541.785,0.32245,0.40867,0.81857,0.93485,0.92543,0.94405,0.87152,0.38548,0.50774,0.82987,0.000368043,0.000368043,0.000368043
81,548.507,0.30607,0.38199,0.80785,0.94918,0.92806,0.94724,0.85938,0.39691,0.51192,0.8358,0.000362968,0.000362968,0.000362968
82,555.278,0.32425,0.40385,0.81786,0.92559,0.96088,0.93615,0.84421,0.40962,0.5187,0.8433,0.000357893,0.000357893,0.000357893
83,562.067,0.30074,0.38673,0.8168,0.92587,0.94288,0.93309,0.85008,0.39883,0.51746,0.83782,0.000352817,0.000352817,0.000352817
